short_name,wage_eur,actual_value,value_predict,difference,age
E. Džeko,75000,19.5,19.5,0.0,33
Pau López,38000,26.0,30.5,-4.5,24
A. Kolarov,52000,10.0,10.0,0.0,33
A. Florenzi,51000,15.0,15.0,0.0,28
F. Fazio,45000,9.5,9.5,0.0,32
D. Perotti,54000,14.0,14.0,0.0,30
L. Pellegrini,41000,18.5,18.5,0.0,23
L. Spinazzola,47000,15.0,15.0,0.0,26
A. Mirante,22000,3.4,3.4,0.0,35
J. Pastore,47000,11.5,11.5,0.0,30
C. Ünder,35000,15.5,14.5,1.0,21
B. Cristante,37000,14.0,14.0,0.0,24
J. Veretout,42000,12.5,12.5,0.0,26
G. Defrel,48000,10.5,10.5,0.0,28
R. Olsen,33000,7.5,7.5,0.0,29
G. Mancini,29000,11.5,11.5,0.0,23
P. Schick,35000,11.0,10.5,0.5,23
Juan Jesus,35000,7.0,7.0,0.0,28
J. Kluivert,29000,11.5,11.5,0.0,20
A. Diawara,26000,10.0,10.0,0.0,21
D. Santon,34000,5.5,5.5,0.0,28
M. Gonalons,32000,5.5,5.5,0.0,30
N. Zaniolo,18000,12.0,12.0,0.0,19
A. Ćorić,26000,6.0,6.0,0.0,22
Y. Çetin,16000,2.6,2.6,0.0,22
Daniel Fuzato,5000,0.82,0.82,0.0,21
M. Antonucci,8000,1.2,1.2,0.0,20
A. Riccardi,3000,0.82,0.82,0.0,18
W. Bianda,4000,0.6,0.6,0.0,19
M. Seck,5000,0.38,0.38,0.0,23
S. Coly,5000,0.21,0.21,0.0,21
